content,docs,etc,howto,name,purpose,service,target
"
								- 매년 3~4월 공고 ,- 이메일 발송 후 전화확인
							",,,,," 
								- 난치병을 가진 아동
							",난치병어린이 지원,"
								- 치료비 및 수술비 지원 ,- 금액 미정
							"
"
								- 기타 접수: 공고 확인(매년 3월)
							",,,,," 
								- 소년소녀가장, 독거노인, 심신장애인등 국내외 소외이웃 ,- 불교계 사회복지기관
							",결연 후원금(품) 지원,"
								- 생계비, 교육비 ,- 생필품, 먹거리 ,- 문화나눔 체험
							"
"
								- 인터넷 접수 : ,- 연중 수시 접수
							",,,"
								,
							",," 
								- 장애 아동
							",장애우 지원사업,"
								- 장애우 재활기구 지원
							"
"
								- 기타 접수: 학교 사회사업실 및 상담실, 사회복지시설을 통한 대상자 모집
							",,,,," 
								- 서울, 경기지역에 거주하는 중, 고등학생
							",의지나눔 플러스,"
								- 자격증 취득과정: 제과기능사 자격증, 제빵기능사 자격증, 바리스타 자격증
							"
"
								- 방문접수: 학교 제출
							",,,"
								- 공통서류,ㆍ지원서(사진 부착), 자기소개서, 고등학교 전학년 성적증명서, 대학합격통지서(예비합격자는 예비합격 순위가 적혀 있는 서류), 기초생활수급대상자 증명서
							",," 
								- 포항 또는 광양시 소재 기초생활수급가정(해당지자체 인정)으로 대학진학예정자
							",포스코비전장학,"
								- 연간 360만원의 장학금을 7학기까지 지급
							"
"
								- 우편접수: 경기도 고양시 일산동구 백석동 1328번지
							",,,"
								- 국민기초생활보장 수급자: 기초생활수급자 증명서 1부,- 차상위계층: 차상위계층 증명서 1부
							",," 
								- 직업교육관련 학점은행제 교육훈련기관 소속 학점은행제 학습자 ,- 국민기초생활보장수급자 및 그 자녀, 또는 차상위계층에 속하는 자 및 그 자녀 ,- 직전학기 평점평균 80점(100점만점) 이상인 자 ,- 소속 직업교육훈련기관장이 추천하는 자
							",장학사업,"
								- 지급금액: 1인당 연간 200만원 ,- 지급방법: 학기당 100만원씩 2개 학기 지급
							"
"
								- 전화 접수: 1577-1391, 국번 없이 129
							",,,,," 
								- 학대피해아동
							",학대피해아동지원,"
								- 학대신고접수 및 현장조사 ,- 학대피해아동 심리검사 및 치료 ,- 학대피해아동 일시 보호(그룹홈 보호) ,- 교육(아동성학대 예방교육, 아동권리교육, 아동학대예방인형극, 신고의무자교육)
							"
"
								- 기타 접수: 자율적인 계약
							",,,,," 
								- 장기요양급여수급자 ,- 장기요양수급자 이외의 자(등급외자) 중 기초수급권자 및 부양의무자로부터 적절한 부양을 받지 못하는 자로서 혼자서 일상생활을 수행하기 어려워 재가서비스의 제공이 필요한 자 (노인보호전문기관에서 학대피해노인으로 입소의뢰를 받은 노인 포함) ,- 08.7.1일 이전에 국가 및 지방자치단체로부터 운영비를 지원받는 시설을 이용하고 있는 등급외자 중 기초수급권자 및 실비이용자
							",방문요양서비스,"
								- 장기요양요원이 수급자의 집을 방문해서 목욕, 배설, 화장실 이용, 옷갈아입기, 머리감기 취사, 생필품 구매, 청소, 주변정돈 등을 도와주는급여
							"
"
								- 매년 3월경 공고(접수시 학교 공문 발송),- 우편접수: 서울특별시 서초구 효령로 304(서초동, 국제전자센터 1407호)
							",,,"
								- 가족관계증명서,- 성적증명서,- 자기소개서,- 학교장추천서(고등학생), 학과장추천서(대학생)
							",," 
								- 가정형편이 어려운 고등학생, 대학생 기준
							",장학사업,"
								- 대학생 등록금 전액지원,- 고등학교 1학기 110만원 3년동안 지원
							"
"
								- 협력병원에서 환자추천 ,- 연중 접수
							",,,,," 
								- 고액의 의료비를 감당하기 어려워 생사의 기로에서 귀중한 생명을 포기하거나 2차 장애를 떠안아야하는 화상환아
							",화상환아지원,"
								- 검사 및 외래비 지원 ,- 입원비, 통원 치료비 지원 ,- 금액 미정
							"
"
								- 기타 접수: 본 재단의 협력병원의 의료사회사업가의 추천을 통해 지원 ,- 연중 수시 접수
							",,,"
								- 지원대상자 상담기록지, 자료활용 동의서(온라인 포스팅 등), 진단서 및 입퇴원확인서, 주민등록등본, 수급자 및 의료급여 증명서, 소득 및 재산조사 관련 자료 등
							",," 
								- 최저생계비 200%이하 저소득층 가정, 그 외 복지사각지대 가정
							",미숙아 지원,"
								- 미숙아 합병질환 예방 및 치료, 2차 장애 발생 예방(상황에 따라 온라인 모금으로 지원 확대)
							"
"
								- 인터넷 접수: www.rhof.or.kr
							",,,"
								,
							",," 
								- 농림,수산,식품계열 학과 재학생 (단, 복수전공자는 제외되며, 정규학기만 지원) ,- 농어업인의 자녀 또는 농림수산업에 직접 종사하고 있는 자로서 졸업 후 영농(1차) 또는 융복합영농(6차)산업 영농어업 종사를 계획하고 있는 자 ,- ''년 1학기 이수학점이 12학점 이상이고, ''년 1학기 평균성적이 70점 이상인 학생 ,- 지원대학의 범위는 고등교육법 제2조에서 규정하고 있는 대학 중 대학, 산업대학, 교육대학, 전문대학, 기술대학을 말하며 원격대학 등 기타 법률이 정하고 있는 고등교육기관, 종교 등 특수목적학과만 있는 대학은 제외 ,- 농림·수산·식품계열 학과는 관련 학과 명세를 기준으로 하되, 복수전공자 및 학칙에 의거 징계처분을 받은 자는 지원대상에서 제외
							","농업후계인력(영농,수산)","
								- 1인당 학기별 250만원
							"
"
								- 우편 접수 : 경기도 수원시 권선구 탑동 903 경기종합노동복지회관 별관 3층 경기도재활공학서비스연구지원센터 '노인 낙상예방 보조기구 지원사업' 담당자 앞,- 신청 기간 : 매년 3월 중(사례관리담당자 1명당 10건까지 신청가능)
							",,,"
								- 공통서류, * 노인 낙상예방 보조기구 지원사업 신청서 1부(주거환경부문 보조기구 신청서, 보행부문 보조기구 신청서), * 개인정보 수집 이용 동의서 1부, * 주민등록증 사본 혹은 등본 1부, * 경제적 수준을 증명할 수 있는 서류(해당자 - 수급자 및 차상위 계층의 경우 해당 증명서) 1부,- 추가서류, * 장애인 복지카드 사본(해당자) 1부
							",," 
								- 서울, 경기, 인천 지역 대상자로 시설에 거주하지 아니하며 낙상의 위험이 있는 노인 및 노인성질환을 가진 만65세 이상의 소득수준이 낮은 노인
							",노인낙상보조기구지원사업,"
								- 지원 보조기구 : 노인 낙상 예방용 보조기구 지원(주거환경부문, 보행부문 택 1),- 노인 낙상예방 보조기구 지원과 지원된 보조기구에 대한 코디네이션 및 사후관리 서비스 제공
							"
"
								- 인터넷 접수: www.rhof.or.kr,- 공고: 매년 1월, 6월
							",,,"
								,
							",," 
								- 농림·수산·식품계열 학과 고등학교의 재학생으로 학교별 배정인원 범위 내에서 학교장이 추천 선발
							",농어촌희망고교 장학금,"
								- 50만원(년1회),ㆍ성적우수 70만원
							"
"
								- 방문 및 우편 접수 : 110-126 서울특별시 종로구 충신길 22, (재)모퉁이돌장학회 담당자 앞,- 신청기간 : 매년 2월, 8월 중
							",,,"
								- 공통서류,ㆍ장학금신청서(사진포함),ㆍ자기소개서 [기 수급자의 경우, 자기소개서는 면제],ㆍ비전기술서 [기 수급자의 경우도 반드시 제출],ㆍ추천서 [학교(과)장(지도교수), 담당 교역자 또는 기타 단체장추천서],ㆍ장학금 수령 통장사본(* 학부모 통장사본 제출 시 가족관계 증명서류) ,- 추가서류,ㆍ고등학생: 생활기록부 사본, 저소득 증빙자료(해당자에 한하여 제출),ㆍ대학(원) 재학생:재학증명서, 성적증명서, 등록금 관련 서류(해당학기), 저소득 증빙자료 (해당자에 한하여 제출),ㆍ기타사항은 홈페이지 참조
							",," 
								- 고등학생,- 대학(원) 재학생
							",장학생,"
								- 고등부: 30~40만원,- 대학부(전문대, 대학, 대학원, 외국 유학생): 납입금액 30~50% 지원
							"
"
								- 인터넷 접수: 증권박물관 금융교실 홈페이지(nanum.ksd.or.kr)
							",,,"
								,
							",," 
								- 증권박물관 금융교육: 초등학교 3학년 이상 ~ 성인 ,- 찾아가는 금융교육: 서울, 경기, 부산의 초중고 ,- 드림스타트 금융교육: 방학기간 중 전국 드림스타트 대상 ,- 사회새내기 금융특강: 서울 및 수도권 고교 졸업 예정자
							",금융교육사업,"
								- 금융관련 교육
							"
"
								- 기타 접수: 지원내용별 상이
							",,,"
								- 한사랑장애영아원: 가족관계증명서(보호자등재), 기본증명서(보호자등재), 주민등록등본(보호자등재), 예방접종기록 및 의무기록 사본, 진단서 및 소견서, 복지카드(장애등록아동만), 의료급여증 및 건강보험증, 개인 소지품(옷, 젖병, 분유, 장난감 등)
							",," 
								- 한사랑 마을: 장애인 복지법에 근거한 장애 1급의 중증아동으로 지체 또는 뇌병변 장애를 동반하여 독립보행이 불가능한 장애인(만 5세 ~ 10세) ,- 한사랑장애영아원: 1, 2급의 중증 및 3급 이상의 경증 장애등록 및 장애에 대한 진단을 첨부할 수 있는 영유아로 국민기초생활보장수급대상 우선 입소(6개월 ~ 4세) ,- 한사랑학교: 초중등 교육법 제 56조에 의거 신체적정서적지적 장애로 인하여 특수교육을 필요로 하는 학생 ,- 한사랑장애인보호작업장: 만 20~25세의 등록(지체뇌병변지적) 장애인
							",재활치료,"
								- 한사랑 마을: 생활재활서비스, 사회재활서비스, 의료재활서비스 ,- 한사랑장애영아원: 생활재활서비스, 사회재활서비스, 의료재활서비스 ,- 한사랑학교: 전액무상교육, 학생 개별화 교육프로그램 운영, 일반교유과정과 연계한 교과교육활동, 인근 유초중학교와의 통합교육, 현장체험학습, 치료지원과 연계한 방과 후 학교, 에듀케어 개념의 종일반 운영 ,- 한사랑장애인보호작업장: 개별고용계획수립, 직업적응훈련, 취미 및 여가활동, 보호고용
							"
"
								- 우편 접수(등기): 서울특별시 중구 을지로79 IBK기업은행 본점 18F ,- 매년 4월, 8월 신청(신청전 전화확인 필수)
							",,,"
								- 공통서류,ㆍ치료비 지원 신청서 원본 1부, 신청인의 주민등록등본 원본 1부, 거주주택 등기부등본 원본 1부(전월세시 계약서 사본 1부), 전년도 근로소득원천징수 영수증 원본 1부(종합소득과 인적공제 내용 포함), 건강보험료 납부확인서 사본 1부, 치료비 지원시 입금계좌통장 사본 1부, 개인신용정보 동의서 원본 1부 ,- 추가서류,ㆍ의료비 관련(해당자만): 희귀난치성질환, 중증질환자, 출산난임 치료 환자의 경우 의료비 납입확인서 원본 1부, 난임부부 지원시 체외수정시술 또는 인공수정시술 지원결정통지서 사본 1부,ㆍ기타서류(심사반영 가산평가): 부채증명서 및 기타 가정경제상황을 파악할 수 있는 서류, 대상자의 치료과정 및 사연, 사진첨부(형식 및 장수제한 없음), 대상자의 의료적 상태 확인 가능하나 사진첨부(장수제한 없음)
							",," 
								- 중소기업에서 1년 이상 재직 중인 근로자 본인, 배우자 및 미혼의 자녀 중 재단 ,- 희귀난치: 보건복지부가 고시한 희귀 난치성 질환 대상자 ,- 중증질환: 암, 심장병, 장기이상, 척추장애 등의 질환자 ,- 출산장려,ㆍ난임시술: 정부로부터 체외수정이나 인공수정 지원결정 통지서 수령자
							",치료비 지원,"
								- 치료비(희귀난치성/중증질환 환자) 연간 최고 1,000만원 한도범위 내 ,- 출산장려: 체외수정시술비(100만원) / 인공수정시술비(50만원)
							"
"
								- 기타 접수 : 12개월 단위로 지원되며, 연간 평가를 통해 지속지원여부 결정
							",,,"
								,지원아동 모집공고(연 1회 모집, 매년 10월 경) → 아동선발 → 인재양성 서비스 제공 → 인재양성서비스 연간결과보고
							",," 
								- 미래재능지원을 3년 이상 받은 아동
							",희망재능지원,"
								- 대학입학금 및 대학등록금 ,- 연간 800만원 한도
							"
"
								- 등기우편 접수: 서울특별시 중구 을지로79 IBK기업은행 본점 18F
							",,,"
								- 공통서류,ㆍ장학금 지원 신청서 원본 1부, 장학금 지원 추천서(회사용) 원본 1부,ㆍ장학금 지원 추천서(학교용) 원본 1부, 성적증명서 원본 1부, 등록금납입영수증 원본 1부 ㆍ신청인의 주민등록등본 원본 1부, 개인정보이용동의서 학생 1부, 근로자 1부,ㆍ전년도 근로소득원천징수 영수증 원본 1부(종합소득세와 인적공제 내용 반드시 포함),ㆍ입금계좌통장 사본 1부(신청인 본인 or 가족관계가 확인된 자의 통장) ,- 추가서류,ㆍ생활형편곤란자: 공통서류(총9부), 건강보험납부확인서 1부, 거주주택등기부등본 1부 (전월세인 경우 계약서 사본 1부), 기타 가계상황을 파악할 수 있는 자료(소득증명원, 부채증명서 등),ㆍ우수봉사자: 공통서류(총9부), 장학금 지원 추천서(기관 시설용) 원본 1부, 자원봉사인증서 원본 1부(한국사회복지협의회, 1365자원봉사센터 인증서만 인정), 자원봉사활동일지 첨부 ㆍ특기자: 공통서류(총9부), 특기생 입증 자료(최근 1년간 특기분야표창 혹은 입상경력 등) ㆍ제대군인: 공통서류(총9부), 전역증 사본 혹은 병역내용 포함된 주민등록초본, 재학증명서 (복학 후 제출),ㆍ기타: 자기소개서(형식제한 없음), 장학금 지원 UCC(자기소개, 장학금 지원 필요성 등)
							",," 
								- 공통,ㆍ중소기업에서 6개월 이상 재직 중인 근로자 본인 및 자녀 중 고등학생, 대학생,ㆍ생활형편곤란자: 가정형편으로 학업에 어려움을 겪고 있는 지원자 중 가계현황관련 서류 제출가능자 ,- 성적우수자,ㆍ전과목 평균 85점 이상,ㆍ전과목 평균 B(3.0) 이상,ㆍ평균 등급차수 3등급 이상 ,- 우수봉사자: 한국사회복지협의회 또는 1365자원봉사센터 최근 6개월 간 50시간 이상 봉사활동 인증서 제출자 ,- 특기자: 외국어, 수학, 과학, 예체능, 문화콘텐츠 등 각 분야에서 최근 1년 내 전국대회 입상자 ,- 제대군인: 군 휴학 후 복학 예정인 자
							",학업 · 장학금 지원사업,"
								- 1년 등록금 기준 대학생 최고 200만원, 고등학생 최고 100만원 한도범위 내 심사 후 지원 금액 결정
							"
"
								- 기타 접수 : 자율적인 계약
							",,,,," 
								- 장기요양수급자 : 방문요양ㆍ방문목욕ㆍ주야간보호ㆍ단기보호 서비스 외의 서비스를 필요로 하는 자,- 장기요양급여수급자 외의 자(등급외 자) 중 기초수급권자 및 부양의무자로부터 적절한 부양을 받지 못하는 자로서 혼자서 일상생활을 수행하기 어려워 서비스의 제공이 필요하여 시/군/구청장이 의뢰한자,- 기타 자연재해 등으로 긴급지원이 필요한 노인(장기요양 서비스 이용자 포함)
							",재가지원서비스,"
								- 일상생활지원을 비롯한 각종 필요서비스를 제공함으로써 지역사회 내에서 건강한 생활을 영위하는데 어려움이 없도록, 예방적 복지 실현 및 사회 안전망 구축
							"
"
								- 우편 접수: 인천광역시 남동구 호구포로 17 (고잔동, (고잔동 728-4) 형남진장학재단),- 매년 1월 공고, 학교장 추천
							",,,"
								- 소득분위를 증명 할 수 있는 서류(대학 장학담당자에게 문의),- 성적증명, 소득증명 등 선발조건에 부합하는 증빙 서류의 사본,- 자기소개서 1부 (장학재단 홈페이지에서 다운로드)
							",," 
								- 재단이 지정한 인천지역 공업계 고교 및 서울, 경인지역 4년제 대학교 재학생,- 신청자격,ㆍ공통 : 가정형편이 어려운 학생(소득 3분위 이내 수준),ㆍ고교재학생 : 학업성취도가 우수한 학생 ,ㆍ대학재학생 : 직전 두 학기 평점 3.5이상(4.5만점 기준) ,ㆍ대학신입생 : 수능상위 20%이내(수시 합격자의 경우 고교 내신 2등급 이상)의 수준
							",장학사업,"
								- 고교: 1년 장학금(200만원) ,- 대학진학: 1년 장학금 (400만원) ,- 대학우수: 1년 장학금 (200~400만원) ,- 대학특기: 1년 장학금(사립 600만원)
							"
"
								- 방문 접수 : 서울시 은평구 갈현동 492-13번지
							",,,"
								- 정신과 전문의 소견서 및 주치의 의뢰서 또는 기관 의뢰서 1부,- 회원가입 신청서,- 가족동의서,- 수급자 증명서(국민기초생활보장권자에 한함),- 건강진단서
							",," 
								- 현재 정신과적인 치료를 받고 있는 만 18세 이상인 자로 사회적응훈련이 필요하고 공동체 생활을 하는데 있어 특별한 장애가 없는 분
							",에버그린하우스,"
								- 사례지원 서비스: 정신건강상담, 증상관리, 가족상담 및 교육 ,- 사회재활 서비스: 사회기술훈련, 정신건강교육, 클럽활동, 자조모임 ,- 직업재활 프로그램: 취업 준비, 임시 취업, 지원 고용, 독립 취업 ,- 교육/연구사업: 조사연구, 실습생교육, 정신보건 전문요원 수련생 교육 ,- 지역사회 연계사업: 지역 내 유관기관 연계, 특별행사
							"
"
								- 방문접수 : 서울시 은평구 응암동 591-18번지
							",,,"
								- 정신과 전문의 소견서 1부, 장애인 등록증 사본, 이력서, 자기소개서, 가족동의서,- 수급자증명서 (국민기초생활보장권자에 한함)
							",," 
								- 정신의료기관의 정기적인 치료를 받고 있는 18세 이상인 정신장애인으로서 근로활동과 취업준비에 관심이 있는 분
							",똘레랑스,"
								- 쿠키제조 및 판매사업, 직업상담 및 평가, 직업훈련 프로그램 제공업체 개발사업,- 취업 및 사후지원, 장애인 고용창출, 지역연계사업, 홍보사업
							"
"
								- 우편접수: 울산 울주군 온산읍 석당길 53 ,- 매년 1~3월 공고(www.ungok2011.com)
							","
								,
							",,"
								- 대학신입생 장학금 신청서,- 등록금 납입영수증(원본대조필),- 주민등록등본,- 학교생활기록부(3학년 1학기 성적증명서),- 대학수학능력시험성적표
							",," 
								- 지방소재 대학신입생 ,- 지방소재 고등학교를 졸업하고 지방소재 대학에 입학한 신입생
							",대학신입생 장학금,"
								- 1인당 연 3,000천원 ~ 4,000천원 및 장학증서
							"
"
								- 기타 접수(접수 10~11월)
							",,,,," 
								- 만 7세~18세 수급권자 및 차상위계층 아동으로 학업, 예술, 체육기능 등 특정분야에서 우수한 재능과 발전 가능성이 있는 아동
							",미래재능지원(아이리더),"
								- 재능개발 기회 제공 : 전문교육과정 연계 ,- 인재양성비 지원 : 교재교구 구입비, 대회참가비, 재능개발장소연계비, 재능개발보조비 ,- 연간 800만원 한도
							"
"
								- 우편 접수: 충청남도 부여군 규암면 흥수로 759 ,- 공고: 매년 1월 말, 7월 말
							",,,"
								- 신청서, 성적증명서, 학교장 추천서
							",," 
								- 학교장 추천을 받은 고등학생, 대학생
							",숙정재단 장학사업,"
								- 고등학생 160만원, 대학교 신입생 400만원, 대학교 재학생 300만원(1년간 지급)
							"
"
								- 기타 접수 : 사회복지시설, 시군구, 읍면동 추천
							",,,"
								,
							",," 
								- 각 사회복지시설, 독거노인, 장애인 가정, 저소득 가정
							",난방시설 지원사업,"
								- 난방시설 개보수 지원,ㆍ복지시설이나 저소득층에 보일러 등의 난방용품을 지원,- 복지시설 월동비용 지원,ㆍ김장비, 난방용 유류비 등을 지원,- 따뜻한 겨울나기 지원 사업(Warming Up Korea),ㆍ한국가스안전공사 봉사팀과 함께 매년 5곳의 열악한 복지시설을 선정하여 난방용품 교체 및 가스시설 점검, 도배공사, 노후시설 리모델링, 김장지원 등의 노력 봉사를 실시
							"
"
								- 인터넷 접수: www.ungok2011.com ,- 매년 1~3월 공고
							","
								,
							",,"
								- 공통서류,ㆍ지역인재육성장학금 신청서, 등록금 납입영수증(원본대조필),ㆍ주민등록등본(거주확인) ,ㆍ가족관계증명서,ㆍ직전학기 성적증명서, 재학증명서(휴학여부확인용)
							",," 
								- 울산광역시를 포함한 지방 소재 대학에 재학중인 자 ,- 신청 직전학기 평균학점 3.5 이상(4.5 만점 기준) ,- 고등교육법 제2조에 따른 대학에 재학중인 학생
							",지역인재 육성 장학금,"
								- 1인당 연 3,000천원 ~ 4,000천원 및 장학증서
							"
"
								- 인터넷 접수: http://www.familynet.or.kr/program/program/list.do ,- 홈페이지에서 권역별 지역센터 공고 확인
							",,,"
								,
							",," 
								- 2인 이상의 가족
							",모두가족봉사단,"
								- 가족의 돌봄지원: 다양한 가족에 대한 자녀돌봄 및 지도(우유먹이기, 놀이지원, 학습지도 등), 신체활동 및 정서건강지원(간병, 안마, 목욕, 말벗 등, 병원동행, 산책, 편지쓰기, 책 읽어주기 등) 등 ,- 지역사회 참여활동: 이웃사랑실천운동(결식아동찾기, 사랑의 집짓기, 군부대 방문 등), 지역사회 문화재 및 시설보호활동(가로수 및 공원정비, 문화유적지 수리 및 청소 등), 지역사회 문화행사 참여, 농어촌 돕기 등 ,- 환경보호활동: 자연보호활동(쓰레기 줍기, 꽃밭만들기, 나무심기 등), 환경캠페인(자연보호, 동물보호, 수질오염방지 등), 환경정화활동(깨끗한 거리조성, 거리 껌 제거, 공원놀이터 가꾸기 등), 재활용품 수집 등 ,- 기타: 기금마련활동(벼룩시장, 농작물 판매 등), 국제협력활동(홈스테이, 외국인 안내) 등
							"
"
								- 홈페이지에서 권역별 지역센터 공고 확인
							",,,"
								,
							",," 
								- 부모 대상
							",가족성장아카데미교육,"
								- 1회기: 몸에 가꾸듯, 가정도 가꾸어요(건강가정과 가족구성원 공통의 사명),- 2회기: 부부행복지수 높이기(부부관계의 중요성의 특성 이해, 부부갈등에 정확한 지식과 건강한 해결방안),- 3회기: 부모와 자녀, 함께하는 행복한 가족을 위하여(자녀의 발달과정의 이해와 관계회복을 위한 눈높이교육, 부모·자녀의 성격유형의 차이 이해,- 4회기: 부모코치 되기!(부모코칭의 개념의 이해),- 5회기: 부모코칭에도 기술이 필요하다(부모코칭의 핵심기술(경청, 질문, 인정, 칭찬하기)의 학습, 코칭기술의 실습, 부모코칭 능력 향상),- 6회기: 우리 가족문화, 현명한 의식주 소비생활(가족생활주기별 의식주 관리, 의식주활동을 통해 가족문화 만들기),- 7회기: 나는 내생활의 CEO, 시간·여가자원 관리(가족단위 활동을 증가시키기 위한 시간관리 방법, 나와 가족의 재무와 소비관리),- 8회기: 다양한 가족, 당당한 삶(다양한 가족 형태에 대한 이해와 편견의 해소, 편견해소를 위한 실천방안),- 9회기: 일과 가정, 둘 다 소중해요.(맞벌이 부부 증가와 가족생활 특성의 이해, 일가정 불균형의 원인과 증상의 탐색, 일가정 균형 잡기 전략과 실천),- 10회기: 가족과 함께하는 나눔의 행복, 가족자원봉사(가족자원봉사에 대한 기초이론, 가족자원봉사 효과 및 과정의 이해와 구체화),- 11회기: 우리가정, 건강한가요? 컨설팅해봐요.(우리가정의 건강성 진단, 가정운영상의 강점과 약점 인식, 가정의 역량강화 방안 컨설팅, 가정경영자의 역할 이해)
							"
"
								- 인터넷 접수 : ,- 홈페이지에서 권역별 지역센터 공고 확인
							",,,,," 
								- 가족 대상
							",가족사랑의 날,"
								- 매월 1회 이상 수요일에 가족들이 함께 참여할 수 있는 가족참여형 프로그램을 진행하여 알찬 가족사랑의 날을 보낼 수 있도록 지원,- 가족과 함께하는 가족사랑 캠페인, 가정헌법 만들기, 가족티셔츠 만들기, 난타/사물놀이 등의 공연관람, 아빠와 함께하는 요리교실, 가족과 함께 영화보기, 다양한 지역사회 참여활동 등
							"
"
								- 인터넷 접수: www.familynet.or.kr/program/program/list.do ,- 홈페이지에서 권역별 지역센터 공고 확인
							",,,"
								,
							",," 
								- 아버지 대상
							",아버지교육,"
								- 남성의 돌봄노동 참여를 위한 아버지교육 프로그램: 아버지 역할에 보다 충실할 수 있도록 자녀와의 놀이방법을 비롯하여 좋은 아버지가 되기 위한 다양한 양육방법 교육 ,- 아버지가 행복한 일터 만들기: 일과 가정의 역할에서 균형 잡힌 생활이 아버지 개인의 삶에 있어서 얼마나 중요한 의미를 갖는 것인지 알려주고, 아버지 역할을 보다 강화하고 새롭게 아버지의 역할을 설계할 수 있도록 도와주는 프로그램
							"
"
								- 수시 접수: 권역별 지역센터 문의(홈페이지 참조)
							",,,,," 
								- 가족 대상
							",가족상담,"
								- 부부상담, 부부,- 자녀 상담 외에 그 외 가족간의 문제, 개인문제 등을 상담
							"
"
								- 인터넷 접수: www.rhof.or.kr,- 공고: 매년 1월, 6월
							",,,"
								,
							",," 
								- 농어업인의 자녀로서 대학(교) 재학생 (단, 정규학기만 지원),- 1학기 이수학점이 12학점 이상이고, 1학기 평균성적이 80점 이상인 학생 ,- 지원대학의 범위는 고등교육법 제2조에서 규정하고 있는 대학 중 대학, 산업대학, 교육대학, 전문대학, 기술 대학을 말하며 원격대학 등 기타 법률이 정하고 있는 고등교육기관, 종교 등 특수목적학과만 있는 대학은 제외 ,- 학칙에 의거 징계처분을 받은 자는 지원대상에서 제외
							",농어촌희망자녀 장학금,"
								- 1인당 학기별 200만원
							"
"
								- 인터넷 접수: new.heart.or.kr ,- 방문 및 우편 접수: 서울시 송파구 올림픽로 35가길 11, 207호 (신천동 한신오피스텔)) ,- 팩스 접수: 02-417-4880 ,- 연중 접수
							","
								,
							",,"
								- 공통서류,ㆍ종합병원의 진단서, 주민등록등본, 주택관련서류, 재산세과세증명서 또는 미과세증명서, 전년도 근로소득원천징수영수증 혹은 최근 월급대장 6개월분 사본, 건강보험증 또는 의료급여증 사본, 추천서(병원 사회복지사 또는 관할 읍면동사무소 사회담당), 개인정보 수집 및 이용, 제공동의서 ,- 추가서류,ㆍ토지대장, 사업자등록증, 사업장계약서, 소득금액증명원, 부채증명서, 자동차등록증 사본, 골수이식 보험 승인서, 콩팥공여자 확인서, 진료비 영수증, 보험증서, 환자 사진, 장애인 증명서 혹은 복지카드 사본
							",," 
								- 지원병명: 심장병얼굴기형, 콩팥이식, 골수이식 ,- 지원연령: 경제적 형편이 어려운 환자, 만 70세까지(골수이식은 만 65세까지)
							",진료비지원사업,"
								- 수술위한 정밀 검사비, 수술비, 수술 후 1년 이내의 후유증 치료비(재입원비) ,- 금액 미정
							"
"
								- 전화문의: 1577-9337,- 각 센터별 프로그램 진행일정이 다름
							",,,,," 
								- 가족 대상
							",토요가족돌봄나눔,"
								- 가족단위 프로그램: 아버지는 물론 가족이 함께 참여하는 다양한 가족놀이, 독서, 공예, 레크레이션, 가족체험 등의 가족돌봄,- 맞벌이 가정 등 토요돌봄이 요구되는 아동, 청소년을 대상으로 다양한 체험 및 멘토링 등 돌봄
							"
"
								- 기타 접수: 학교로 공문발송(인천, 군산, 창원, 보령),- 매년 7월 공고
							",,,"
								- 추천서
							",," 
								- 경제적으로 어려운 고등학생(협약체결기관 지역 중)
							",청소년 장학금 지원,"
								- 학교로 장학금 송금,- 금액미정
							"
"
								- 우편접수: 인천광역시 부평구 청천동 199-1 의료비지원 담당자 앞,- 기타(이메일접수gmk.foundation@gm.com) ,- 연중수시 접수
							",,,"
								- 사회복지사 상담 기록지, 경제적 상황을 증명할 수 있는 서류, 진단서, 진료비 입금계좌 (병원통장사본), 병원 사업자등록증
							",," 
								- 65세 이상 노인
							",의료비지원,"
								- 안과, 치과, 내과질환 등의 치료비 전액 지원 ,- 금액 미정
							"
"
								- 기타 접수 : 관내 구청에서 추천, 요양보호사 추천,- 연중 접수
							",,,"
								- 저소득 증명서,- 독거노인을 증명할 수 있는 증명서
							",," 
								- 독거노인
							",독거노인 생활 지원 사업,"
								- 선물, 공연관람 제공 등(한달에 1번 지원)
							"
"
								- 인터넷 접수: http://www.sdream.or.kr ,- 우편접수: 서울특별시 용산구 후암로 107 게이트웨이타워 20층
							",,,,," 
								- 갑작스런 가정 경제의 위기, 학교 부적응 등 긴박한 어려움에 처하여 긴급하게 장학금 및 멘토링이 필요한 저소득층 고등학생
							",SOS장학,"
								- 선정된 달부터 다음 해 2월까지 매월 20만원(최대 12개월 이내)지원 ,- 연중 수시 접수(3월 제외)
							"
"
								- 기타 접수: 복지관에서 대상자 발굴, 사업신청,- 접수기간: 매년 9월 중 공고
							",,,,," 
								- 수급자 또는 차상위계층의 노인, 장애인 가정 등 ,- LG재단이 건립한 복지재단이 있는 지역(서울, 부산, 울산, 광주, 경기, 경남, 경북, 전남, 충북)
							",월동준비 주거환경 개선 사업,"
								- 월동준비에 관련된 환경개선 일체
							"
"
								- 인터넷 접수 : ,
							",,,"
								,
							",," 
								- 재단의 규정 또는 의료심사에 의해 소원진행이 필요하다고 생각되는 만3 ~만18세까지 생명을 위협하는 난치병을 앓고 있는 아동 및 청소년
							",소원성취사업,"
								- 재단이 지원 가능한 모든 소원 한 가지 지원
							"
